Year,Potential_Station_Hour_Records,Valid_Observed,Blank_Missing,Zero_Invalid,Reconstructed_123,Non_Numeric,Negative,Valid_Percentage
2012,228384,7262,221042,57,23,0,0,3.18
2013,227760,8627,219000,105,28,0,0,3.79
2014,227760,8620,219000,109,31,0,0,3.78
2015,227760,82403,144159,989,209,0,0,36.18
2016,228384,187066,37096,3782,440,0,0,81.91
2017,227760,220946,721,5633,460,0,0,97.01
2018,227760,220262,22,7015,461,0,0,96.71
2019,227734,203468,32,23829,405,0,0,89.34
2020,228384,205217,1969,20773,425,0,0,89.86
2021,254040,209745,35871,8002,422,0,0,82.56
2022,262800,210503,41618,10162,517,0,0,80.1
2023,289080,259230,22609,6631,610,0,0,89.67
2024,307440,291750,5882,9137,671,0,0,94.9
2025,306600,288011,4426,13492,671,0,0,93.94
ALL,3471646,2403110,953447,109716,5373,0,0,69.22
